reg_code,National,ISO3,ISO3-numeric,ISO2,FIPS,COACCH,IMAGE26,NGFS downscaled,Continent,Sub-region
GUY,GUY,GUY,328,GY,GY,Laca,RSAM,,Americas,Latin America and the Caribbean
HKG,CHN,HKG,344,HK,HK,CHN,CHN,HKG,Asia,Eastern Asia
HMD,AUS,HMD,334,HM,HM,OCE,OCE,,Oceania,Australia and New Zealand
HND,HND,HND,340,HN,HO,Laca,RCAM,HND,Americas,Latin America and the Caribbean
HRV,HRV,HRV,191,HR,HR,WEU,CEU,HRV,Europe,Southern Europe
HTI,HTI,HTI,332,HT,HA,Laca,RCAM,HTI,Americas,Latin America and the Caribbean
HUN,HUN,HUN,348,HU,HU,CEU,CEU,HUN,Europe,Eastern Europe
IDN,IDN,IDN,360,ID,ID,SEAS,INDO,IDN,Asia,South-eastern Asia
IMN,GBR,IMN,833,IM,IMN,WEU,WEU,,Europe,Northern Europe
IND,IND,IND,356,IN,IN,INDIA,INDIA,IND,Asia,Southern Asia
IOT,GBR,IOT,86,IO,IO,SSA,WEU,,Africa,Sub-Saharan Africa
IRL,IRL,IRL,372,IE,EI,WEU,WEU,IRL,Europe,Northern Europe
IRN,IRN,IRN,364,IR,IR,MiddleEast,ME,IRN,Asia,Southern Asia
IRQ,IRQ,IRQ,368,IQ,IZ,MiddleEast,ME,IRQ,Asia,Western Asia
ISL,ISL,ISL,352,IS,IC,WEU,WEU,ISL,Europe,Northern Europe
ISR,ISR,ISR,376,IL,IS,MiddleEast,ME,ISR,Asia,Western Asia
ITA,ITA,ITA,380,IT,IT,WEU,WEU,ITA,Europe,Southern Europe
JAM,JAM,JAM,388,JM,JM,Laca,RCAM,JAM,Americas,Latin America and the Caribbean
JEY,GBR,JEY,832,JE,JE,WEU,WEU,,Europe,Northern Europe
JOR,JOR,JOR,400,JO,JO,MiddleEast,ME,JOR,Asia,Western Asia
JPN,JPN,JPN,392,JP,JA,JAP,JAP,JPN,Asia,Eastern Asia
KAZ,KAZ,KAZ,398,KZ,KZ,FSU,STAN,KAZ,Asia,Central Asia
KEN,KEN,KEN,404,KE,KE,SSA,EAF,KEN,Africa,Sub-Saharan Africa
KGZ,KGZ,KGZ,417,KG,KG,FSU,STAN,KGZ,Asia,Central Asia
KHM,KHM,KHM,116,KH,CB,SEAS,SEAS,KHM,Asia,South-eastern Asia
KIR,KIR,KIR,296,KI,KI,OCE,OCE,,Oceania,Micronesia
KNA,KNA,KNA,659,KN,SC,Laca,RCAM,,Americas,Latin America and the Caribbean
KOR,KOR,KOR,410,KR,KS,EastAsia,KOR,KOR,Asia,Eastern Asia
KWT,KWT,KWT,414,KW,KU,MiddleEast,ME,KWT,Asia,Western Asia
LAO,LAO,LAO,418,LA,LA,SEAS,SEAS,,Asia,South-eastern Asia
LBN,LBN,LBN,422,LB,LE,MiddleEast,ME,LBN,Asia,Western Asia
LBR,LBR,LBR,430,LR,LI,SSA,WAF,,Africa,Sub-Saharan Africa
LBY,LBY,LBY,434,LY,LY,NAF,NAF,LBY,Africa,Northern Africa
LCA,LCA,LCA,662,LC,ST,Laca,RCAM,,Americas,Latin America and the Caribbean
LIE,LIE,LIE,438,LI,LS,WEU,WEU,,Europe,Western Europe
LKA,LKA,LKA,144,LK,CE,RSAS,RSAS,LKA,Asia,Southern Asia
LSO,LSO,LSO,426,LS,LT,SSA,RSAF,,Africa,Sub-Saharan Africa
LTU,LTU,LTU,440,LT,LH,FSU,CEU,LTU,Europe,Northern Europe
LUX,LUX,LUX,442,LU,LU,WEU,WEU,LUX,Europe,Western Europe
LVA,LVA,LVA,428,LV,LG,FSU,CEU,LVA,Europe,Northern Europe
MAC,CHN,MAC,446,MO,MC,CHN,CHN,,Asia,Eastern Asia
MAF,FRA,MAF,663,MF,RN,Laca,WEU,,Americas,Latin America and the Caribbean
MAR,MAR,MAR,504,MA,MO,NAF,NAF,MAR,Africa,Northern Africa
MCO,MCO,MCO,492,MC,MN,WEU,WEU,,Europe,Western Europe
MDA,MDA,MDA,498,MD,MD,FSU,UKR,MDA,Europe,Eastern Europe
MDG,MDG,MDG,450,MG,MA,SSA,EAF,,Africa,Sub-Saharan Africa
MDV,MDV,MDV,462,MV,MV,RSAS,RSAS,,Asia,Southern Asia
MEX,MEX,MEX,484,MX,MX,Laca,MEX,MEX,Americas,Latin America and the Caribbean
MHL,MHL,MHL,584,MH,RM,OCE,OCE,,Oceania,Micronesia
MKD,MKD,MKD,807,MK,MK,WEU,CEU,MKD,Europe,Southern Europe
MLI,MLI,MLI,466,ML,ML,SSA,WAF,MLI,Africa,Sub-Saharan Africa
MLT,MLT,MLT,470,MT,MT,WEU,WEU,MLT,Europe,Southern Europe
MMR,MMR,MMR,104,MM,BM,SEAS,SEAS,MMR,Asia,South-eastern Asia
MNE,MNE,MNE,499,ME,MJ,WEU,CEU,MNE,Europe,Southern Europe
MNG,MNG,MNG,496,MN,MG,CHN,CHN,MNG,Asia,Eastern Asia
MNP,USA,MNP,580,MP,CQ,USA,USA,,Oceania,Micronesia
MOZ,MOZ,MOZ,508,MZ,MZ,SSA,RSAF,MOZ,Africa,Sub-Saharan Africa
MRT,MRT,MRT,478,MR,MR,SSA,WAF,,Africa,Sub-Saharan Africa
MSR,GBR,MSR,500,MS,MH,Laca,WEU,,Americas,Latin America and the Caribbean
